,experiment,exp_type,mse,sigma_e_est,sigma_b0_est,sigma_b1_est,n_epoch,time
1,0,ignore,0.368022704,,,,57,63.78614736
2,0,embed,0.235991376,,,,34,44.68614984
3,1,ignore,0.377275452,,,,25,26.24799967
4,1,embed,0.214829561,,,,51,66.32279277
5,2,ignore,0.322011405,,,,41,42.61859584
6,2,embed,0.207724532,,,,37,48.2253356
7,3,ignore,0.317667713,,,,39,40.92059398
8,3,embed,0.228155581,,,,57,73.45647383
9,4,ignore,0.373888398,,,,41,42.2648468
10,4,embed,0.240891152,,,,49,63.11281705
11,0,svdkl,0.259143135,,,,118,824.7062664
12,1,svdkl,0.239399951,,,,100,689.559799
13,2,svdkl,0.236423253,,,,100,688.7422905
14,3,svdkl,0.245812073,,,,77,531.3627825
15,4,svdkl,0.219111064,,,,151,1042.338064
16,0,lmm,0.228518502,0.17651518,0.39159587,0.13340189,35,116.1162555
17,1,lmm,0.219133937,0.1709199,0.43247807,0.16186026,21,75.84881353
18,2,lmm,0.221879983,0.17247537,0.3903516,0.18002786,21,75.06679773
19,3,lmm,0.223432782,0.17269899,0.4023301,0.2135962,21,73.98992085
20,4,lmm,0.229944482,0.1727446,0.39197436,0.205527,18,65.39680815
21,0,lmm_embed,0.249840443,0.2265026,0.606305778,,44,121.4102263
22,1,lmm_embed,0.250894112,0.23613404,0.433722973,,47,129.9045968
23,2,lmm_embed,0.256391843,0.24799857,0.735947371,,30,84.58187509
24,3,lmm_embed,0.285302194,0.26888254,0.560922682,,18,53.43909883
25,4,lmm_embed,0.245092726,0.24642049,0.472544044,,37,103.1938996
26,0,cnn,0.244688055,,,,15,102.259166
27,1,cnn,0.276537063,,,,44,253.6603813
28,2,cnn,0.274620435,,,,16,93.18677068
29,3,cnn,0.228248138,,,,34,196.0374815
30,4,cnn,0.273038956,,,,16,93.70637512
